input_index,url,name_bg,brand_name,status,confidence,warnings
244,https://estellashoes.com/produkt/damski-loufari-anne/,Дамски лоуфъри ANNE,Estella Shoes,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
245,https://estellashoes.com/produkt/damski-loufari-renee/,Дамски лоуфъри RENEE,Estella Shoes,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE|MISSING_MATERIALS
246,https://estellashoes.com/produkt/damski-chehli-brooke/,Дамски чехли BROOKE,Estella Shoes,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
247,https://estellashoes.com/produkt/damski-chehli-mackenzie/,Дамски чехли MACKENZIE,Estella Shoes,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
248,https://estellashoes.com/produkt/damski-chehli-autumn/,Дамски чехли AUTUMN,Estella Shoes,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
249,https://estellashoes.com/produkt/damski-chehli-maren/,Дамски чехли MAREN,Estella Shoes,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
250,https://estellashoes.com/produkt/damski-chehli-arina/,Дамски чехли ARINA,Estella Shoes,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
251,https://estellashoes.com/produkt/damski-botushi-s-ravno-hodilo/,Дамски ботуши с равно ходило HELEN,Estella Shoes,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
252,https://estellashoes.com/produkt/botushi-estestvena-kozha/,Ботуши естествена кожа KELLY,Estella Shoes,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
253,https://estellashoes.com/produkt/damski-cherni-chizmi/,Дамски черни чизми MELANIE,Estella Shoes,REVIEW,HIGH,NEW_BRAND_REVIEW_REQUIRED|SOURCE_PRICE_NOT_MAPPED_TO_APPROXIMATE_RANGE
