URL,PAGE_TYPE,PRODUCT_COUNT,INCOMING_HTML_PAGES,REACHABLE_FROM_HOME,IN_SITEMAP,INDEXABILITY,TITLE,GENERATED_BY
/bulgarski-mazhki-antsuzi/,intent_landing,7,7,YES,YES,INDEX,Български мъжки анцузи | Българитъм,src/pages/[...slug].astro or dedicated route
/bulgarski-mazhki-pizhami/,intent_landing,7,16,YES,YES,INDEX,Мъжки пижами – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/k/chanti/,taxonomy_landing,7,68,YES,YES,INDEX,Чанти | Аксесоари | Българитъм,src/pages/k/[slug].astro
/k/domashni-lyubimci/,taxonomy_landing,7,11,YES,YES,INDEX,Домашни любимци | Български продукти | Българитъм,src/pages/k/[slug].astro
/podarak-za-imen-den-na-zhena/,intent_landing,7,22,YES,YES,INDEX,Подарък за имен ден на жена – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/rachno-izraboteni-sveshti/,intent_landing,7,13,YES,YES,INDEX,Ръчно изработени свещи | Българитъм,src/pages/[...slug].astro or dedicated route
/zabaven-podarak-za-mazh/,intent_landing,7,24,YES,YES,INDEX,Забавен подарък за мъж – идеи за подарък | Българитъм,src/pages/[...slug].astro or dedicated route
/bulgarski-palta-ot-valna/,intent_landing,8,43,YES,YES,INDEX,Български палта от вълна – модели и идеи | Българитъм,src/pages/[...slug].astro or dedicated route
/bulgarski-sveshti/,intent_landing,8,2,YES,YES,INDEX,Български свещи – за дома | Българитъм,src/pages/[...slug].astro or dedicated route
/k/detsko-obleklo/,taxonomy_landing,8,20,YES,YES,INDEX,Облекло | Деца | Българитъм,src/pages/k/[slug].astro
/k/kozmetika-kosa/,taxonomy_landing,8,31,YES,YES,INDEX,Българска козметика за коса – грижа и състав | Българитъм,src/pages/k/[slug].astro
/bulgarski-detski-igrachki/,intent_landing,9,1,YES,YES,INDEX,Български детски играчки – за деца и семейства | Българитъм,src/pages/[...slug].astro or dedicated route
/k/detski-igrachki/,taxonomy_landing,9,22,YES,YES,INDEX,Играчки | Деца | Българитъм,src/pages/k/[slug].astro
